Interactor 1	Interactor 2
CG13323	CG10916
Uch-L5	Rpn13
Prosalpha4	Prosbeta4
CG3548	CG42676
twin	Not1
l(2)k01209	kri
Prosbeta1	Prosbeta3
Ost48	Tango9
Spindly	Mes2
CG4119	CG3107
ctp	CG8079
CG11474	CG17746
Syx5	alphaSnap
Swt1	Ald2
crn	CG4849
Vap33	CG1513
porin	regucalcin
GlnRS	AIMP1
Rpt4	Rpn13
Arpc3A	Arp3
GstE7	GstE6
Rpt3	Prosbeta7
Prosalpha4	Prosbeta5
alphaSnap	Vti1a
CG12177	Swip-1
Prosalpha4	Rpt3
al	Irbp
Surf4	CG8195
Snap29	Vti1a
Prosbeta3	Prosalpha6
CG4872	c12.1
Df31	TpnC25D
AnxB10	Gtpx
GstD1	GstD10
Prosbeta2	Prosbeta4R2
Df31	Arfrp1
Cip4	SCAR
regucalcin	Nacalpha
Df31	Gtpx
CG6340	CG8026
Trp1	Hpd
TpnC25D	Gtpx
Prosalpha5	Prosbeta4
CG14232	CG9356
HisRS	Mdh2
Eno	CG8993
Nt5b	Nacalpha
eRF3	Lipt2
trsn	Trax
Prosbeta4	Prosalpha3
Prosalpha7	Pomp
Prosbeta5	Prosalpha6
Prosalpha7	Prosbeta4R2
Rpt1	Arl8
Prx6c	Srlp
Use1	alphaSnap
Snap29	Syx17
CG6870	Cpr64Aa
snf	snRNP-U1-C
al	CG34132
Prosalpha7	REG
Prosbeta4R1	Prosalpha6
Syx16	alphaSnap
Nlp	Gtpx
Prosalpha4	Rpt2
nrv2	CG4872
regucalcin	viaf
dgt5	dgt6
alphaSnap	Membrin
Sec61alpha	Tango9
REG	Prosalpha2
Prosbeta6	Prosbeta4
Prosalpha5	Prosbeta5
CG14207	Spc25
RfC3	CG3548
CG7366	Mocs2B
Pp4-19C	PPP4R2r
MED17	MED22
Gdi	Rab35
Df31	CG1309
dgt4	dgt6
GlnRS	ArgRS
ecd	Prp8
Ufl1	CG10887
Rpn11	Rpn13
wdb	Atg5
CG15445	achi
CG3740	Nazo
Eno	regucalcin
Rpt2	Prosalpha7
r-l	RnrS
CG14995	RanBPM
Gtpx	Sh3beta
Df31	Dim1
VhaSFD	CG5126
Hsp23	pkm
OstDelta	Tango9
alpha-Est1	Alp12
AnxB10	CG15084
hop	Dera
Arc42	Sps1
Calr	Gtpx
awd	TpnC25D
hbn	RfC4
Vha55	Pcyt2
CG33191	CG33523
Prosalpha7	Prosbeta4
Spindly	lic
Naus	Mob4
CG1965	CG4849
Sec20	alphaSnap
hbn	Ku80
PIG-K	PIG-T
CG8560	CG6683
Mec2	Arl8
Sdc	Mtpbeta
Prosalpha4	Prosalpha7
tub	Myd88
Prosbeta6	Pomp
Cyp6a22	orion
awd	Snx3
fax	TpnC25D
Prosbeta3	Prosbeta7
CCT6	CCT2
Clc	CG11882
Syx1A	Vti1a
Prosbeta2	Prosalpha3
Prosbeta3	Prosalpha3
noi	Sf3a2
Prosbeta6	Prosalpha5
Prosbeta2R1	PSMG1
Pfdn2	Pfdn5
ash2	Rbbp5
CG3548	indra
Rpn11	Prosalpha3
Prosalpha7	CG13319
regucalcin	Mdh2
CG8891	Echs1
mts	tant
Rbm13	CG6724
Prosalpha5	Prosalpha7
Rpn6	Prosbeta4
Cog4	CG12241
Rpt4	Prosbeta5
Gcn5	wds
ZnT63C	Sec61alpha
SkpA	morgue
CG10949	CG8560
Mocs2B	wds
CIAPIN1	Grx3
Prosbeta3	Rpn13
Nsun2	CG17124
Rpn1	Prosalpha2
Mhcl	ssp
Prosbeta2	Prosalpha7
Vps28	Vps37B
dod	CG7656
SmF	snRNP-U1-C
Prosbeta6	Prosalpha7
Pcyt2	Pcyt1
Arp1	Arp10
Prosbeta3	Prosbeta5
eIF1A	Snx3
sqh	CG17746
Prosbeta4R2	Prosalpha6
Prosalpha4	Prosalpha3
Idh3b	FipoQ
Calr	Nepl3
al	Ku80
Prosbeta4R2	Prosalpha2
awd	CG5445
Snapin	Dysb
eIF1A	CG10265
eIF4B	TyrRS
HIP-R	CG6432
Rpn7	Rpn11
Fer1HCH	Jon65Aiv
ZnT63C	Kdsr
Cka	Mob4
dbe	CG5645
Pfdn1	Pfdn4
Ssb-c31a	CG3107
lolal	CG14207
dgt4	dgt2
Prosbeta2	Prosbeta4
Prosalpha2	Prosbeta7
Prosbeta1	Prosalpha3
Vha55	Cyp6a13
Cds	Tango9
Syx1A	Sec22
Echs1	DEF8
Prosalpha4	Rpt4
Df31	Snx3
CG10209	Pcyt2
CG8195	Sec61alpha
Prosbeta2	REG
exu	daed
imd	Nopp140
Pomp	PSMG1
MED11	MED22
CycB	Cdk1
Polr3B	Polr3H
Rpn9	Prosbeta7
Prosbeta5	Prosalpha3
Slbp	Nacalpha
CG9581	Gbp2
Chrac-16	Chrac-14
Atg4a	Cyp9f2
Acsx3	asl
ScsbetaG	Arl8
AnxB10	CG7675
Rpt4	Rpn11
Rpn11	Prosbeta5
Past1	Arl8
Kmn1	Nnf1a
Rpt2	Prosbeta4
dgt2	msd1
CG15084	CG7675
KrT95D	Wdr37
CG9581	CG11018
Gem3	Smn
Spindly	CG6550
Prosbeta2	Prosbeta7
AnxB10	Srlp
Snap29	alphaSnap
Prosbeta3	Prosalpha2
Fer1HCH	CG1092
scu	Cog3
Irbp	CG3548
Prosbeta5	Prosalpha2
Snx1	Snx6
Rh5	Swip-1
esc	E(z)
Prosbeta6	Rpn13
Ubqn	row
Prosbeta6	Rpn11
Rpt2	Prosalpha2
Rnp4F	CG17768
Snap25	Sec22
Bacc	loqs
fabp	CG11771
CG4119	Prp40
Arl8	UQCR-C2
porin	Mec2
Smn	Gem2
Dhx15	CG31550
ATPsynB	ATPsynE
eIF1A	CG7668
Dph1	Dph2
Prosbeta1	Prosalpha5
ecd	CG6674
CG8195	jagn
14-3-3zeta	borr
CCT3	DCAF12
Prosbeta1	Prosbeta5
Prosbeta6	Prosbeta3
D12	wds
Prosalpha4	Rpt5
P32	Irk2
ref(2)P	Ypel
Khc	Klc
SPE	FipoQ
CG13319	Prosalpha3
CG4709	Prp3
Prosalpha7	Rpn11
abs	CG10657
Rpt2	Prosalpha5
ATPsyndelta	ATPsynF
Hem	SCAR
Prosbeta3	REG
Ugt36D1	Tmem214
Rpt1	Prosalpha3
CG3793	CG8026
Rpt1	Prosbeta5
Arp10	DCTN4-p62
Prosalpha5	Rpt5
CG8939	RpL7-like
eIF4B	CG11771
Syx18	alphaSnap
Syx1A	Snap29
CG1532	GCC88
Prosalpha7	Prosalpha3
Prosbeta2	Pomp
Snap25	Syx1A
Prosbeta6	Prosalpha4
alpha-PheRS	beta-PheRS
sip2	CG5043
Hmgs	Cyp9f2
Vha100-1	CG7289
drl	gkt
RpS15Ab	CG1309
CG2065	ZnT63C
Arp1	DCTN2-p50
Rpt2	Rpn11
Cbp80	Cbp20
Rpt1	Rpn13
Prosalpha7	Rpn13
ATPsyndelta	ATPsynE
Rpt6	Prosalpha2
CG17124	capt
Prp8	CG1965
Prosbeta1	Prosalpha2
Cyp28d1	CG6656
Hel25E	ScsbetaA
Rpt6	Prosbeta7
Inos	Nt5b
loqs	capt
PSMG1	Prosalpha3
CHMP2B	Ist1
Ssb-c31a	Gtpx
bnb	CG4198
Pomp	CG12321
fax	Ndfip
Ist1	mib2
CG10802	Mvd
Arp2	Arp3
Bacc	Gtpx
eIF4B	Mes2
eIF4B	CG31125
MRP	ZnT63C
Rpt5	Prosbeta7
vis	achi
Prosbeta4	Prosalpha2
GluProRS	GlnRS
Prosalpha5	Rpt3
cib	Npc2g
Prosbeta2	Prosalpha6T
Rpn5	Rpn9
CG6465	CG6726
Cyp4e2	Cyp4e1
CG3548	TFAM
Prosalpha4	CG13319
Ugt36D1	CG15098
CG31729	Tango9
alphaSnap	Sec22
CG15098	CG2736
crn	CG6015
CG7810	Sf3b5
AspRS	GlnRS
abs	CG3107
Rab3	Rab35
Kmn1	Mis12
Syx1A	Ykt6
Rab6	CG2736
CG15891	Vps37B
CG3603	CG31546
scu	loqs
Hsp23	Shawn
Prosalpha7	Prosbeta3
crn	CG3436
CG4119	CG10657
Df31	fabp
Prosalpha4	PSMG1
PCNA	Gtpx
Rpt6	Rpn11
CkIIbeta	Dek
Prosbeta3	Rpt1
Ctu2	Ctu1
CG2574	Art1
ND-75	ND-24
CG5445	CG8993
msl-3	msl-1
Nnf1a	Mis12
Cyp4ac1	FipoQ
Appl	CG1688
Prosalpha4	Prosbeta7
Prps	CG2246
Prosbeta3	PSMG1
snf	SmD2
EloB	CG12081
Dip-B	CG5445
Rpn5	Amun
Hou	RanBPM
SmF	snf
Echs1	ssp
Pgam5	ssp
OstDelta	Kdsr
Dera	CG15084
Atac1	wds
TpnC25D	CG40045
CG9123	CG12608
woc	row
Prosalpha4	Rpt1
Rpn2	Rpn13
Prosbeta2	CG12321
Prosalpha7	PI31
boca	Cyp9b2
Gtpx	Arglu1
msd1	dgt6
dod	CG31917
sob	Arc1
mio	Nup44A
Prosbeta6	Prosbeta5
SCAR	HSPC300
CG7668	CG6283
Cth	CG34133
dod	eIF1A
Sh3beta	Snx3
Prosalpha4	Prosalpha5
boca	Cpr67B
lin-28	Tre1
Hel25E	Mcad
CG8839	CG1227
mxt	eIF3c
Es2	CG15084
CG14005	Desat1
Prosbeta1	Prosbeta2
Hcf	wds
Hsp23	ICA69
HDAC1	Sin3A
Rpt5	Rpn9
CCDC53	CG5446
shd	CCT6
Rpt5	Rpn11
Ost48	ZnT63C
Vha36-1	VhaSFD
Prosbeta3	Rpt4
Pomp	Ufd1
CG8939	bdwf
boca	Fmo-2
Prosalpha4	CG12321
boca	Samtor
alphaSnap	Ykt6
Prosalpha4	Prosbeta3
cPges	Nt5b
Rpn11	Prosalpha6
Fie	CG14715
Sh3beta	CG30339
Prosalpha5	Prosbeta4R2
sun	CG8195
CG8939	RpL24-like
ND-75	CG11035
GluProRS	IleRS
Non1	CG8939
Prosbeta2	Rpn11
Rpt2	Prosbeta2
CCT5	CCT4
Prosalpha4	Pomp
Prosbeta6	Rpt5
ldbr	CG13484
CG9581	Jon65Aiv
CG9933	sds22
Rpt1	Prosalpha2
Prosbeta2R1	CG13319
ZnT63C	cPges
Inos	Snx3
CG10949	CG8026
Rpn6	Rpn11
Rpn9	Rpn11
Arpc1	Arp3
Rpn11	Rpn1
Prosalpha5	Rpt6
Rer1	Tango9
IleRS	GlnRS
Gale	Arl8
Prosalpha7	Prosbeta2R1
Hsc70-1	Hsp68
CG11771	CG31098
Rpn2	Rpn11
MrgBP	pont
Vap33	Rdh1
Prosalpha5	Rpn1
ZnT63C	Agpat3
Rpt5	Rpt1
RpLP0	CG3008
RabGGTb	RabGGTa
ref(2)P	DEF8
CG9008	CG10887
Pomp	Prosbeta7
Rpt6	Prosalpha7
Rpt5	Prosbeta5
Prosalpha5	Prosalpha3
Gip	CG6726
Cyfip	SCAR
Rpn1	Prosbeta7
Rpt4	Rpn9
Ntan1	didum
FBXO11	CG3708
Prosalpha5	PSMG1
CG10265	CG6283
Prosalpha7	CG12321
ATPsynCF6	ATPsynE
Ald1	regucalcin
D	Sox21a
Rpt1	Rpn11
Prosbeta3	CG12321
Lint-1	CoRest
Prosbeta4R1	Prosalpha3
CG7611	cDIP
Prosalpha5	Prosbeta3
alpha4GT1	CG4983
fax	ZnT63C
ClC-c	CG1161
Prosalpha4	Prosalpha6
Fer1HCH	CARPB
Prosbeta6	Rpt6
Hmgs	CG6712
sqh	ssp
CG14995	Kaz
CG6432	Trx2
hop	CG15717
ATPsyngamma	ATPsynF
Rpn9	Prosbeta4
Prosbeta3	Rpt3
mbo	Nup62
Slmap	hpo
Rpt1	Prosbeta4
Hel25E	Tapdelta
Fer2LCH	Fer1HCH
Pfdn6	Pfdn5
Rbm13	CG8939
Hsp23	DEF8
Cpr11B	BthD
Drat	Ssadh
Vha55	Hmgs
GstO2	GstO1
Vps29	CG13473
Chc	Arl8
CG6171	CG1532
flw	mars
Prosalpha5	Prosalpha2
Rpt1	Rpn9
Prosalpha6	Prosalpha3
crn	fand
Inos	CG11807
Prosalpha4	Rpn11
Arpc5	Arpc2
Prosalpha4	Prosalpha2
Prosalpha7	Prosalpha2
Fer1HCH	yip7
Prosalpha5	Pomp
Gos28	alphaSnap
Spn47C	Wdr37
Map205	polo
Vap33	CG5742
boca	Gk1
CG9581	TwdlE
snRNP-U1-70K	CG10657
Arpc2	Arpc3A
Rpt5	Prosalpha2
Rpn8	Rpn11
Rpt2	Rpn13
Nlp	TpnC25D
spidey	Pdhb
hbn	RfC3
Vha36-1	CG14818
CG8360	CG7920
cib	CG32147
Hrd3	CG6766
snRNP-U1-70K	CG3107
CG6340	CG10209
nSyb	Syx1A
Prosbeta6	Prosbeta1
CG6712	ICA69
CG7810	Sf3b6
hook	CG14556
Arp2	Arpc2
Pvr	CG14879
Syx8	alphaSnap
Ugt36D1	Echs1
Prosbeta3	Rpn6
Arp10	DCTN6-p27
Gtpx	Nacalpha
Prosbeta3	Rpt5
spt4	Spt5
Prosalpha4	Prosbeta4R2
CG12171	CG31548
rept	pont
BORCS5	Snapin
CG12171	CG31549
Df31	CG17124
Rpt6	Rpn9
CkIIbeta	CG3907
PPO2	yellow-f
wdb	Shawn
Prosbeta2	Prosalpha6
CG5577	CG5567
Prosbeta4	Prosbeta7
mxt	eIF4E5
pkm	CG11200
Arp1	DCTN6-p27
Rpt5	Rpt4
Prosbeta6	Prosbeta2
CG10949	CG10209
CG1416	Arl8
Echs1	Mes2
MED11	MED17
Nnp-1	CG8939
Prosalpha4	Rpn1
Ciao1	galla-2
rb	Trp1
Sou	CG14995
Galphao	pins
Pfdn1	Pfdn6
Prosalpha4	Rpn13
Hsp23	nudE
Prosbeta2R1	Prosalpha3
Spindly	ZnT63C
Bet3	Trs23
Rpn11	Prosbeta4
Prosbeta3	Pomp
Pomp	Prosalpha3
dgt2	msd5
TpnC25D	CG10265
CtBP	Mes2
Bacc	Ho
Sin3A	Brms1
Mfap1	Prp38
Rpt4	Prosalpha2
Prosbeta2R1	Pomp
Ku80	TfAP-2
dock	Dscam1
CG1910	loqs
Prosbeta6	Prosbeta7
ND-ACP	Lipt2
twin	Pop2
Prosbeta1	Rpn11
PAN2	PAN3
AP-2sigma	CG42557
CG10803	Cog3
Golgin97	gkt
REG	CG14480
msd5	dgt6
Inos	CG8891
CG6171	Arfrp1
ecd	CG1965
gammaSnap1	Vti1a
Rdh1	ZnT63C
REG	Prosbeta2R1
ND-75	ND-23
Pomp	Prosalpha6
Ubc4	dod
GstO3	GstO2
Prosalpha2	Prosalpha6
CG8939	CG6712
GstO3	GstO1
Ilk	parvin
Rcc1	HPS1
Rpn5	Rpn11
Cog4	CG3511
CG9581	vir-1
Hmgs	CARPB
Arf1	Arl8
Vap33	CG9205
dgt2	dgt6
CG9581	CG17032
CG3107	CG7668
Dgat2	VhaAC45
vir	Hakai
dpr5	DEF8
Df31	loqs
GlnRS	MetRS
IleRS	MetRS
Trxr1	Trxr2
Trmt6	Trmt61
CCT6	Arl8
synr	CG5194
igl	Fer1HCH
wal	Pdhb
ND-24	CG11035
ApepP	CG3107
CG8888	FipoQ
CG14968	cPges
Rpn11	Prosbeta7
Sf3b1	CG7810
Hel25E	mge
Fer1HCH	CG8654
Prosalpha5	Rpn13
Prosalpha4	Prosbeta1
Prosbeta3	Rpn11
Ist1	shrb
Ada3	wds
Rab2	Hel25E
Syx13	alphaSnap
Prosalpha7	Prosbeta7
Smn	SNRPG
snf	U2A
eEF1alpha2	eEF1delta
Cyp28d2	Cyp28d1
Prosbeta4R2	Pomp
Prosalpha7	Rpt1
Prosbeta6	Rpt2
Gip	eIF4B
ken	lolal
boca	CG3045
Mtr3	Rrp40
Vha55	Vha36-1
ND-75	Tg
Non1	RpL24-like
tant	wrd
Dim1	Sh3beta
Ist1	Vps60
Prosbeta2	Rpt5
abs	Acsx3
Rpn13	Prosalpha6
Pfdn2	Pfdn1
D12	Atac2
Hsp23	Ypel
Atac2	wds
Sil1	FipoQ
cPges	CG9588
Chc	Clc
Fnta	Fntb
Syx1A	alphaSnap
Rpt5	Rpn1
CG12702	Cdc23
wds	Sgf29
Prosbeta7	Prosalpha3
Ciao1	galla-1
Smn	SmD2
Hsp23	CG12084
boca	CG13630
Hsp23	Nt5b
Prosbeta6	Prosalpha2
hfp	Prp40
Prosbeta1	Prosbeta4
Arp1	DCTN4-p62
CG7810	Sf3b3
Rpt1	Prosbeta7
Vha55	ICA69
Rdh1	Desat1
Flad1	CARPB
ATP6AP2	VhaAC45
Nnp-1	Rbm13
l(1)G0020	bdwf
Prosbeta4	Prosalpha6
Myo61F	Rh5
hbn	Irbp
CCT5	CCT7
Prosalpha7	Prosalpha6
prod	CG3548
Hsp23	Gyc89Db
Prosbeta6	Prosalpha6
Pop2	Not1
Prosalpha5	Prosbeta2
NdufV3	CG11035
Prosbeta6	Prosbeta4R2
Khc-73	Ufl1
Rpt6	Prosbeta3
Gip	capt
nSMase	CG7071
Brms1	CG14220
Rpt5	CG9588
Prosbeta2	Rpn2
dgt2	wac
Pomp	Prosalpha2
RpL7-like	CG6712
nSyb	Snap29
U4-U6-60K	Prp3
Arpc1	Arpc2
awd	CG15141
Rab10	strat
Vha55	VhaSFD
CG9581	CG4716
sun	ATPsynF
Prosbeta4R2	Prosalpha3
Echs1	Nt5b
Prosbeta1	Prosbeta7
CG31548	CG31549
Prosalpha7	Prosbeta5
Rab5	ZnT63C
CG9300	pasha
Nadk1a	Nadk1b
Gtpx	fabp
Syx16	Vti1a
OstDelta	ZnT63C
DCTN3-p24	Arp10
Uch-L5	Rpn2
Prosbeta1	Prosalpha7
CG8939	CG8545
Reph	mnb
Su(dx)	mop
Prosalpha7	Rpn1
Prosbeta5	Prosbeta4
sqh	oya
GstD9	GstD10
Vap33	Pcyt2
boca	eIF3j
Vps60	Vps24
l(2)gl	par-6
Hsp23	CG8531
Gip	loqs
Rpt4	CG9588
Bacc	Snx3
fl(2)d	Hakai
wrd	Pp2A-29B
CG11178	Pbp95
Ist1	Vps2
Rpt3	Rpn13
Paics	sigmar
dgt2	dgt5
Prosbeta3	Prosbeta4R2
Polr3B	Polr1C
regucalcin	Mip
Iswi	dikar
Sc2	Tango9
Rab2	Arl8
CG8026	Pcyt2
boca	CG1889
Ctr9	hyx
CG8888	Pcyt2
Rnp4F	CG9344
CCT5	CCT6
CCT4	DCAF12
CG12768	Mes2
hbn	CG15047
Rpt6	Prosbeta5
CG1910	Snx3
Smn	CG10126
Jra	kay
CG5446	SCAR
Ocrl	IPIP
Prosalpha4	Rpt6
CG4598	Gtpx
CG7737	CG11980
ScsbetaG	krz
betaNACtes1	S-Lap3
His3.3B	Pex14
Hibch	RNF220
mEFTs	CG2162
mts	CG11504
CG8180	Nedd4
CG1910	Sps1
CG8289	CG30008
Rab5	Rpt1
CG3795	CG15717
Rpt6	Rpn6
Df31	CG13893
Gs1	Clic
Bx42	fand
Act79B	CG5160
Mpcp2	CG13325
Coq6	Pcyt2
CHMP2B	Vps24
CkIIbeta	RNF220
ATPsynCF6	Gtpx
RnrS	Nemp
Mps1	Mad1
CG4325	CG11523
porin	Phb2
CG10887	CG31954
CG6180	Dhrs4
beag	Smu1
Tspo	ScsbetaA
CG11815	CG11779
Trxr1	Trx2
HIP-R	insb
Mlc2	CG6330
Prosbeta6	Rpt3
sphe	Jon65Aiv
Picot	cPges
sax	tkv
CG11911	CD98hc
Nprl2	CG4502
Prosbeta2	PSMG1
HIP-R	Ada2b
Bx42	Prp8
RpS15Ab	CG31802
Hsp27	CG32313
strat	CG11007
Gtpx	Chd64
Vajk3	Uxs
Jra	CG13123
Hou	CG8814
r-l	Hmg-2
tll	REG
Prosbeta6	Rpn2
Orc5	CG18081
Tm2	CG6330
Cpr49Ac	CG5568
Fer1HCH	Erasp
CycH	Mat1
AnxB10	Nacalpha
CG11596	Uxs
Hel25E	Droj2
DCTN1-p150	Arp10
UQCR-6.4	Pdhb
RpS15Ab	Pex14
CG17187	Ak3
Syx5	Membrin
CG8292	CG10252
CG7737	CG1635
Dera	Prosalpha2
AnxB10	Dera
Phb1	CG14005
CNPYb	yip7
Hibch	Synd
CG1532	Nepl11
Adh	CG10581
Drice	ICA69
Corp	CG15717
ecd	elfless
RNF220	Synd
GstE6	GstE5
abs	Coq6
Cdk2	CycE
Fer1HCH	Sil1
CG4194	Diap1
Prosalpha4	Agpat1
Vps2	shrb
HIP-R	Pcyt1
GstD2	GstD4
Non1	Ns1
vkg	Gbp2
Diap2	Mpcp2
CG8097	DCP1
Ama	Wdfy2
Trap1	Hsdl2
CG8300	TORIP
mPges2	Diap2
CG11911	CG8132
Paics	Srlp
Prosbeta6	PSMG1
eIF4E1	mxt
Vajk3	p24-1
Prosalpha5	Rpn9
Dsor1	wal
CG5565	JMJD7
CG13001	RNF220
AnxB10	Usp39
Mis12	Nnf1b
E(spl)m8-HLH	betaTub85D
Rac1	Pak3
tws	CG33229
Rab5	Mcad
EbpIII	frm
Hsf	Ccs
mei-S332	mts
Mitofilin	CG8004
REPTOR-BP	CG4282
comt	CG11836
CG10750	Echs1
Flad1	bocks
Slmap	mub
CG5500	CG31343
MED20	CG7542
mts	SPE
Prosbeta6	Rpn1
PhKgamma	CG7766
CG3630	Ntf-2
CSN4	CSN6
MFS16	mmy
Tgt	CG3434
Hsp67Bc	CG14854
Pp4-19C	Tap42
Chc	Arf1
CG7407	CG9288
clu	tobi
ATPsynD	pippin
CG7737	Gyc89Db
Ahcy	CG31800
D12	Hcf
Fer2LCH	CG4390
Fkbp12	CG10657
CG1092	P58IPK
Hsp22	CG8950
Arfrp1	Vps29
Ras64B	CG16959
Mbs	Jheh3
mei-S332	wdb
CG7542	CG34159
CG7766	Iris
Fer2LCH	CG5500
Clic	Sps1
CG7953	tmod
l(1)G0320	UQCR-C2
ATPsynG	ATPsynB
Pfdn2	mdlc
Hmgs	bocks
CG1416	AsnRS
igl	Flad1
HIP-R	daw
Rab5	Idh3a
CG3565	CG32219
Gs1	CG7737
Hen1	Veneno
Rab5	Gfat2
rpr	Prosalpha7
ND-75	Atg4a
Syx1A	Membrin
ATPsynO	ATPsynB
CG1307	CG4872
Hibch	Pcyt1
Fer1HCH	P58IPK
Dhx15	CG7878
Calr	Pglym78
CG1354	Chd64
CG3862	iPLA2-VIA
Jwa	Rer1
blw	ATPsynO
CG8617	Pfdn6
CG4707	Gmppb
Gbeta13F	Ggamma1
Chc	Rab5
grk	me31B
CG13220	CG13601
Lsp2	CG5500
nop5	bdwf
CG4390	CG34205
HIP-R	Rim2
Mlc1	RalGPS
Cnx99A	Cdc50
Bx42	CG9667
Rab2	Rab6
Nak	Reps
igl	ICA69
Cyp4ae1	tmod
blw	ATPsynD
Actn	CG14315
Uev1A	Trx2
Yod1	CG6432
Ald1	Picot
Syx1A	Syx8
ATPsynB	ATPsyndelta
Tspo	Rab8
Tengl4	CG17187
Csl4	Mtr3
fax	Rdh1
regucalcin	Slbp
Prosbeta2	Rpt3
Gbeta13F	CG7650
CG4461	HtrA2
Vajk2	hmw
Hmgs	JMJD6
CG5157	CG14259
CG7675	CG11842
msd1	msd5
Pli	CG11980
Cyp4ac1	CG8888
Tspo	CG1416
Pglym78	CG5500
Syb	Syx5
eIF3j	Gagr
r-l	Sps1
CG11911	ergic53
CG10347	JMJD6
Vlet	CG7168
ecd	Wdr92
CG9344	CG2021
Prp8	CG6674
RpS21	CG31142
CG17768	CG2021
